BygningAnvendelsesKode_Value,BygningOpfoerelsesaar_Value,BygningSamletBoligAreal_Value,BygningVarmeinstallation_Value,EnhedAntalVaerelser_Value
140,1946,1080,1,2
140,1946,1080,1,3
140,1946,1080,1,2
140,1946,1080,1,2
140,1946,1080,1,3
140,1946,1080,1,2
140,1946,1080,1,3
140,1946,1080,1,2
140,1946,1080,1,2
140,1826,390,7,2
140,1826,390,7,2
140,1826,390,7,2
140,1826,390,7,1
140,1826,390,7,2
140,1826,390,7,2
140,1946,170,2,2
140,1946,170,2,3
130,1965,190,2,6
130,1965,93,5,4
130,1976,124,1,5
140,1700,472,2,2
140,1700,472,2,2
140,1700,472,2,4
140,1700,472,2,2
140,1700,472,2,3
130,1970,115,2,4
140,1750,136,2,3
140,1750,136,2,4
130,1977,102,2,4
140,1996,384,2,4
140,1996,384,2,4
140,1996,384,2,3
130,1969,152,2,6
140,1924,260,1,2
140,1924,260,1,3
140,1924,260,1,3
140,1908,169,2,2
140,1908,169,2,6
140,1900,360,1,3
140,1900,360,1,3
140,1900,360,1,3
140,1900,360,1,3
140,1910,521,7,4
140,1910,521,7,3
140,1910,521,7,4
140,1910,521,7,3
140,1910,521,7,3
140,1910,521,7,3
140,1910,521,7,
140,1910,521,7,3
130,1979,188,1,5
140,1920,516,2,5
140,1920,516,2,3
140,1920,516,2,3
140,1920,516,2,2
140,1920,516,2,4
140,1920,516,2,3
130,2005,114,1,4
130,1982,138,1,2
140,1852,326,3,4
140,1852,326,3,5
140,1852,326,3,3
130,1960,101,1,5
130,1962,100,2,4
130,1970,115,2,4
130,1992,208,2,2
130,1977,102,2,4
130,1988,278,2,6
130,1988,278,2,4
130,1988,278,2,
130,1981,131,1,4
140,1931,480,1,3
140,1931,480,1,4
140,1931,480,1,3
140,1931,480,1,2
140,1931,480,1,3
140,1931,480,1,4
140,1570,735,2,3
140,1570,735,2,4
140,1570,735,2,3
140,1570,735,2,3
140,1570,735,2,6
140,1570,735,2,5
140,1570,735,2,6
140,1570,735,2,5
140,1570,735,2,5
130,2006,380,2,3
130,2006,380,2,3
140,1933,1789,1,3
140,1933,1789,1,3
140,1933,1789,1,3
140,1933,1789,1,2
140,1933,1789,1,4
140,1933,1789,1,3
140,1933,1789,1,3
140,1933,1789,1,3
140,1933,1789,1,3
140,1933,1789,1,3
140,1933,1789,1,3
140,1933,1789,1,3
140,1933,1789,1,1
140,1943,234,2,2
140,1943,234,2,2
140,1943,234,2,2
140,1943,234,2,2
140,1896,426,3,3
140,1896,426,3,2
140,1896,426,3,2
140,1896,426,3,3
140,1896,426,3,4
140,1896,426,3,3
140,2000,261,2,2
140,2000,261,2,2
140,2000,261,2,2
140,2000,261,2,2
130,1962,121,1,6
140,1948,756,1,3
140,1948,756,1,3
140,1948,756,1,2
140,1948,756,1,2
140,1948,756,1,2
140,1948,756,1,3
140,1948,756,1,3
